#     r             phi             Phi             Pi             Ricci
0.4162610266    0.5033388166   -2.1281295254   -0.0104128963   -4.8977281339
0.4178318229    0.4999976621   -2.1259454003   -0.0103475828   -4.9409823652
0.4194026193    0.4966600096   -2.1236706499   -0.0102820725   -4.9844989169
0.4209734156    0.4933260013   -2.1213054562   -0.0102163635   -5.0282697868
0.4225442119    0.4899957792   -2.1188500083   -0.0101504540   -5.0722869851
0.4241150082    0.4866694849   -2.1163045021   -0.0100843422   -5.1165425362
0.4256858046    0.4833472596   -2.1136691404   -0.0100180263   -5.1610284815
0.4272566009    0.4800292444   -2.1109441332   -0.0099515046   -5.2057368819
0.4288273972    0.4767155798   -2.1081296974   -0.0098847755   -5.2506598198
0.4303981935    0.4734064063   -2.1052260571   -0.0098178373   -5.2957894015
0.4319689899    0.4701018637   -2.1022334433   -0.0097506884   -5.3411177593
0.4335397862    0.4668020916   -2.0991520945   -0.0096833273   -5.3866370540
0.4351105825    0.4635072292   -2.0959822560   -0.0096157525   -5.4323394766
0.4366813788    0.4602174154   -2.0927241803   -0.0095479626   -5.4782172505
0.4382521752    0.4569327884   -2.0893781272   -0.0094799562   -5.5242626334
0.4398229715    0.4536534863   -2.0859443638   -0.0094117319   -5.5704679195
0.4413937678    0.4503796467   -2.0824231643   -0.0093432886   -5.6168254411
0.4429645642    0.4471114066   -2.0788148101   -0.0092746251   -5.6633275704
0.4445353605    0.4438489028   -2.0751195902   -0.0092057402   -5.7099667215
0.4461061568    0.4405922715   -2.0713378006   -0.0091366329   -5.7567353518
0.4476769531    0.4373416484   -2.0674697447   -0.0090673021   -5.8036259642
0.4492477495    0.4340971688   -2.0635157333   -0.0089977471   -5.8506311079
0.4508185458    0.4308589674   -2.0594760846   -0.0089279670   -5.8977433805
0.4523893421    0.4276271785   -2.0553511240   -0.0088579610   -5.9449554294
0.4539601384    0.4244019359   -2.0511411846   -0.0087877284   -5.9922599532
0.4555309348    0.4211833727   -2.0468466067   -0.0087172688   -6.0396497029
0.4571017311    0.4179716217   -2.0424677380   -0.0086465816   -6.0871174834
0.4586725274    0.4147668150   -2.0380049338   -0.0085756664   -6.1346561548
0.4602433238    0.4115690842   -2.0334585567   -0.0085045229   -6.1822586335
0.4618141201    0.4083785601   -2.0288289770   -0.0084331510   -6.2299178933
0.4633849164    0.4051953733   -2.0241165723   -0.0083615504   -6.2776269667
0.4649557127    0.4020196535   -2.0193217278   -0.0082897213   -6.3253789458
0.4665265091    0.3988515300   -2.0144448360   -0.0082176637   -6.3731669835
0.4680973054    0.3956911312   -2.0094862973   -0.0081453777   -6.4209842939
0.4696681017    0.3925385851   -2.0044465193   -0.0080728639   -6.4688241541
0.4712388980    0.3893940191   -1.9993259173   -0.0080001225   -6.5166799041
0.4728096944    0.3862575596   -1.9941249140   -0.0079271541   -6.5645449483
0.4743804907    0.3831293327   -1.9888439399   -0.0078539594   -6.6124127560
0.4759512870    0.3800094637   -1.9834834327   -0.0077805391   -6.6602768621
0.4775220833    0.3768980772   -1.9780438381   -0.0077068942   -6.7081308677
0.4790928797    0.3737952969   -1.9725256089   -0.0076330256   -6.7559684407
0.4806636760    0.3707012461   -1.9669292059   -0.0075589346   -6.8037833168
0.4822344723    0.3676160473   -1.9612550970   -0.0074846224   -6.8515692993
0.4838052687    0.3645398220   -1.9555037582   -0.0074100904   -6.8993202603
0.4853760650    0.3614726912   -1.9496756726   -0.0073353402   -6.9470301406
0.4869468613    0.3584147751   -1.9437713311   -0.0072603735   -6.9946929504
0.4885176576    0.3553661931   -1.9377912321   -0.0071851920   -7.0423027696
0.4900884540    0.3523270638   -1.9317358816   -0.0071097977   -7.0898537483
0.4916592503    0.3492975050   -1.9256057931   -0.0070341927   -7.1373401065
0.4932300466    0.3462776337   -1.9194014876   -0.0069583793   -7.1847561351
0.4948008429    0.3432675660   -1.9131234937   -0.0068823599   -7.2320961958
0.4963716393    0.3402674173   -1.9067723476   -0.0068061369   -7.2793547211
0.4979424356    0.3372773020   -1.9003485929   -0.0067297131   -7.3265262147
0.4995132319    0.3342973338   -1.8938527807   -0.0066530913   -7.3736052517
0.5010840282    0.3313276255   -1.8872854697   -0.0065762744   -7.4205864783
0.5026548246    0.3283682888   -1.8806472259   -0.0064992657   -7.4674646124
0.5042256209    0.3254194348   -1.8739386230   -0.0064220684   -7.5142344430
0.5057964172    0.3224811735   -1.8671602419   -0.0063446859   -7.5608908308
0.5073672136    0.3195536141   -1.8603126711   -0.0062671218   -7.6074287080
0.5089380099    0.3166368648   -1.8533965064   -0.0061893800   -7.6538430779
0.5105088062    0.3137310329   -1.8464123512   -0.0061114644   -7.7001290155
0.5120796025    0.3108362246   -1.8393608159   -0.0060333789   -7.7462816668
0.5136503989    0.3079525454   -1.8322425186   -0.0059551279   -7.7922962489
0.5152211952    0.3050800996   -1.8250580846   -0.0058767158   -7.8381680502
0.5167919915    0.3022189906   -1.8178081463   -0.0057981472   -7.8838924297
0.5183627878    0.2993693209   -1.8104933436   -0.0057194267   -7.9294648172
0.5199335842    0.2965311917   -1.8031143236   -0.0056405594   -7.9748807129
0.5215043805    0.2937047034   -1.7956717406   -0.0055615501   -8.0201356876
0.5230751768    0.2908899555   -1.7881662560   -0.0054824043   -8.0652253818
0.5246459731    0.2880870460   -1.7805985383   -0.0054031272   -8.1101455063
0.5262167695    0.2852960724   -1.7729692633   -0.0053237244   -8.1548918413
0.5277875658    0.2825171307   -1.7652791138   -0.0052442018   -8.1994602364
0.5293583621    0.2797503160   -1.7575287794   -0.0051645650   -8.2438466105
0.5309291585    0.2769957223   -1.7497189571   -0.0050848203   -8.2880469512
0.5324999548    0.2742534426   -1.7418503505   -0.0050049738   -8.3320573148
0.5340707511    0.2715235685   -1.7339236702   -0.0049250319   -8.3758738258
0.5356415474    0.2688061907   -1.7259396337   -0.0048450012   -8.4194926769
0.5372123438    0.2661013989   -1.7178989655   -0.0047648884   -8.4629101283
0.5387831401    0.2634092812   -1.7098023964   -0.0046847004   -8.5061225078
0.5403539364    0.2607299251   -1.7016506645   -0.0046044442   -8.5491262102
0.5419247327    0.2580634165   -1.6934445140   -0.0045241270   -8.5919176973
0.5434955291    0.2554098404   -1.6851846961   -0.0044437561   -8.6344934972
0.5450663254    0.2527692804   -1.6768719684   -0.0043633392   -8.6768502043
0.5466371217    0.2501418190   -1.6685070952   -0.0042828838   -8.7189844789
0.5482079181    0.2475275376   -1.6600908469   -0.0042023979   -8.7608930467
0.5497787144    0.2449265163   -1.6516240005   -0.0041218893   -8.8025726988
0.5513495107    0.2423388339   -1.6431073394   -0.0040413663   -8.8440202913
0.5529203070    0.2397645680   -1.6345416532   -0.0039608371   -8.8852327449
0.5544911034    0.2372037951   -1.6259277375   -0.0038803103   -8.9262070446
0.5560618997    0.2346565902   -1.6172663943   -0.0037997943   -8.9669402394
0.5576326960    0.2321230273   -1.6085584316   -0.0037192979   -9.0074294422
0.5592034923    0.2296031789   -1.5998046633   -0.0036388300   -9.0476718293
0.5607742887    0.2270971163   -1.5910059092   -0.0035583996   -9.0876646401
0.5623450850    0.2246049095   -1.5821629951   -0.0034780159   -9.1274051769
0.5639158813    0.2221266273   -1.5732767525   -0.0033976881   -9.1668908047
0.5654866776    0.2196623371   -1.5643480185   -0.0033174258   -9.2061189508
0.5670574740    0.2172121049   -1.5553776359   -0.0032372384   -9.2450871045
0.5686282703    0.2147759955   -1.5463664531   -0.0031571356   -9.2837928171
0.5701990666    0.2123540723   -1.5373153237   -0.0030771273   -9.3222337013
0.5717698630    0.2099463974   -1.5282251069   -0.0029972233   -9.3604074313
